Dniva;AGI
Dniva10477;AT1G68760
Dniva10514;AT1G68765
Dniva10505;AT1G68790
Dniva10512;AT1G68795
Dniva10516;AT1G68810
Dniva10525;AT1G68820
Dniva10539;AT1G68830
Dniva10538;AT1G68850
Dniva10534;AT1G68870
Dniva10556;AT1G68875
Dniva10535;AT1G68880
Dniva9867;AT1G68890
Dniva9848;AT1G68940
Dniva9837;AT1G69010
Dniva9831;AT1G69030
Dniva9840;AT1G69050
Dniva9836;AT1G69060
Dniva9822;AT1G69160
Dniva9817;AT1G69170
Dniva9814;AT1G69180
Dniva9818;AT1G69200
Dniva9792;AT1G69260
Dniva9802;AT1G69270
Dniva9805;AT1G69320
Dniva9797;AT1G69325
Dniva9790;AT1G69330
Dniva9798;AT1G69350
Dniva9794;AT1G69370
Dniva9788;AT1G69380
Dniva9795;AT1G69390
Dniva12852;AT1G69410
Dniva9769;AT1G69490
Dniva9768;AT1G69500
Dniva32741;AT1G69523
Dniva9883;AT1G69570
Dniva12898;AT1G69620
Dniva9893;AT1G69680
Dniva9910;AT1G69700
Dniva9906;AT1G69710
Dniva30564;AT1G69770
Dniva9907;AT1G69780
Dniva9916;AT1G69800
Dniva9935;AT1G69830
Dniva9938;AT1G69860
Dniva9942;AT1G69880
Dniva9944;AT1G69890
Dniva9947;AT1G69900
Dniva9943;AT1G69910
Dniva9945;AT1G69930
Dniva21770;AT1G69940
Dniva9970;AT1G70070
Dniva28680;AT1G70080
Dniva9974;AT1G70130
Dniva9960;AT1G70160
Dniva9986;AT1G70200
Dniva9979;AT1G70210
Dniva9980;AT1G70230
Dniva9988;AT1G70260
Dniva10004;AT1G70330
Dniva10011;AT1G70340
Dniva10013;AT1G70350
Dniva10016;AT1G70420
Dniva10015;AT1G70470
Dniva10001;AT1G70480
Dniva9765;AT1G70540
Dniva9760;AT1G70560
Dniva9748;AT1G70570
Dniva9755;AT1G70590
Dniva9749;AT1G70610
Dniva9745;AT1G70640
Dniva9747;AT1G70660
Dniva9725;AT1G70690
Dniva9746;AT1G70750
Dniva9734;AT1G70760
Dniva9724;AT1G70780
Dniva9735;AT1G70820
Dniva9718;AT1G70900
Dniva9705;AT1G70985
Dniva9675;AT1G71050
Dniva9681;AT1G71060
Dniva9682;AT1G71070
Dniva9689;AT1G71090
Dniva9691;AT1G71100
Dniva9688;AT1G71110
Dniva9677;AT1G71120
Dniva9696;AT1G71160
Dniva9694;AT1G71170
Dniva9678;AT1G71210
Dniva9661;AT1G71260
Dniva9637;AT1G71420
Dniva9638;AT1G71440
Dniva9643;AT1G71460
Dniva9644;AT1G71500
Dniva9650;AT1G71520
Dniva9647;AT1G71530
Dniva9646;AT1G71680
Dniva9645;AT1G71690
Dniva9634;AT1G71691
Dniva9615;AT1G71692
Dniva9630;AT1G71695
Dniva9627;AT1G71696
Dniva9620;AT1G71730
Dniva9617;AT1G71780
Dniva9625;AT1G71790
Dniva9623;AT1G71800
Dniva9614;AT1G71810
Dniva9605;AT1G71820
Dniva9608;AT1G71850
Dniva9597;AT1G71870
Dniva9587;AT1G71900
Dniva9582;AT1G71940
Dniva9569;AT1G71950
Dniva9566;AT1G71960
Dniva9592;AT1G71970
Dniva9579;AT1G71980
Dniva9575;AT1G72020
Dniva9580;AT1G72030
Dniva9567;AT1G72040
Dniva9557;AT1G72100
Dniva9546;AT1G72150
Dniva9554;AT1G72170
Dniva9545;AT1G72180
Dniva9540;AT1G72190
Dniva9544;AT1G72200
Dniva9535;AT1G72220
Dniva9533;AT1G72230
Dniva9499;AT1G72280
Dniva5604;AT1G72290
Dniva9496;AT1G72300
Dniva9516;AT1G72310
Dniva9477;AT1G72440
Dniva9488;AT1G72460
Dniva9485;AT1G72470
Dniva9475;AT1G72480
Dniva9448;AT1G72500
Dniva9451;AT1G72540
Dniva9464;AT1G72620
Dniva9418;AT1G72670
Dniva9420;AT1G72680
Dniva9426;AT1G72690
Dniva9433;AT1G72710
Dniva9446;AT1G72720
Dniva9435;AT1G72790
Dniva9371;AT1G72970
Dniva9385;AT1G72980
Dniva9334;AT1G73010
Dniva9330;AT1G73050
Dniva9357;AT1G73060
Dniva9337;AT1G73110
Dniva9342;AT1G73120
Dniva9331;AT1G73140
Dniva9352;AT1G73160
Dniva9362;AT1G73165
Dniva9344;AT1G73177
Dniva9358;AT1G73190
Dniva9329;AT1G73200
Dniva9345;AT1G73230
Dniva9343;AT1G73240
Dniva9317;AT1G73340
Dniva9314;AT1G73380
Dniva9316;AT1G73400
Dniva9322;AT1G73470
Dniva9318;AT1G73480
Dniva9312;AT1G73510
Dniva9307;AT1G73530
Dniva9298;AT1G73540
Dniva9263;AT1G73560
Dniva9286;AT1G73580
Dniva9276;AT1G73590
Dniva9277;AT1G73630
Dniva9228;AT1G73700
Dniva9247;AT1G73710
Dniva9252;AT1G73720
Dniva9251;AT1G73740
Dniva9262;AT1G73780
Dniva9218;AT1G73805
Dniva9226;AT1G73810
Dniva9229;AT1G73820
Dniva9222;AT1G73860
Dniva9244;AT1G73880
Dniva9255;AT1G73885
Dniva9219;AT1G73890
Dniva9234;AT1G73940
Dniva9230;AT1G73960
Dniva9260;AT1G73965
Dniva9236;AT1G73970
Dniva9242;AT1G73990
Dniva9199;AT1G74055
Dniva9204;AT1G74080
Dniva9190;AT1G74100
Dniva9188;AT1G74110
Dniva9211;AT1G74120
Dniva9170;AT1G74210
Dniva9156;AT1G74220
Dniva9177;AT1G74230
Dniva9176;AT1G74240
Dniva9174;AT1G74250
Dniva9152;AT1G74260
Dniva9168;AT1G74300
Dniva9171;AT1G74320
Dniva9184;AT1G74370
Dniva9175;AT1G74400
Dniva9173;AT1G74410
Dniva9120;AT1G74450
Dniva9123;AT1G74458
Dniva9129;AT1G74460
Dniva9117;AT1G74470
Dniva9133;AT1G74490
Dniva9116;AT1G74500
Dniva9119;AT1G74590
Dniva9118;AT1G74660
Dniva9135;AT1G74670
Dniva9132;AT1G74680
Dniva9070;AT1G74690
Dniva9101;AT1G74700
Dniva9096;AT1G74710
Dniva9084;AT1G74720
Dniva9086;AT1G74730
Dniva9093;AT1G74780
Dniva9095;AT1G74790
Dniva9066;AT1G74800
Dniva9109;AT1G74820
Dniva9071;AT1G74830
Dniva9064;AT1G74850
Dniva9100;AT1G74860
Dniva9088;AT1G74870
Dniva9079;AT1G74880
Dniva9078;AT1G74890
Dniva9085;AT1G74900
Dniva9104;AT1G74930
Dniva9090;AT1G74940
Dniva9074;AT1G74970
Dniva9091;AT1G75000
Dniva9068;AT1G75010
Dniva9037;AT1G75090
Dniva9034;AT1G75125
Dniva9051;AT1G75160
Dniva9054;AT1G75240
Dniva9046;AT1G75260
Dniva9030;AT1G75270
Dniva9000;AT1G75350
Dniva9006;AT1G75400
Dniva8993;AT1G75430
Dniva9005;AT1G75440
Dniva8995;AT1G75450
Dniva9008;AT1G75490
Dniva8955;AT1G75510
Dniva8961;AT1G75520
Dniva8978;AT1G75530
Dniva8956;AT1G75590
Dniva8954;AT1G75640
Dniva8959;AT1G75690
Dniva8989;AT1G75717
Dniva8982;AT1G75770
Dniva8919;AT1G75790
Dniva8932;AT1G75800
Dniva8943;AT1G75810
Dniva8918;AT1G75820
Dniva8946;AT1G75930
Dniva8885;AT1G76060
Dniva8881;AT1G76065
Dniva8899;AT1G76070
Dniva8871;AT1G76080
Dniva8894;AT1G76150
Dniva8908;AT1G76200
Dniva8884;AT1G76210
Dniva8891;AT1G76220
Dniva8873;AT1G76240
Dniva8875;AT1G76250
Dniva8820;AT1G76340
Dniva8814;AT1G76400
Dniva8816;AT1G76420
Dniva8845;AT1G76450
Dniva8817;AT1G76470
Dniva8834;AT1G76490
Dniva8847;AT1G76500
Dniva8804;AT1G76560
Dniva8799;AT1G76570
Dniva8792;AT1G76590
Dniva8794;AT1G76600
Dniva8791;AT1G76610
Dniva8782;AT1G76730
Dniva8813;AT1G76750
Dniva8801;AT1G76800
Dniva8793;AT1G76850
Dniva8773;AT1G76860
Dniva8788;AT1G76880
Dniva8774;AT1G76890
Dniva8789;AT1G76920
Dniva8755;AT1G76950
Dniva8733;AT1G76952
Dniva8734;AT1G76965
Dniva8764;AT1G77010
Dniva8746;AT1G77020
Dniva8728;AT1G77100
Dniva8756;AT1G77110
Dniva8760;AT1G77140
Dniva8729;AT1G77200
Dniva8767;AT1G77220
Dniva8730;AT1G77260
Dniva8708;AT1G77330
Dniva8691;AT1G77360
Dniva8694;AT1G77380
Dniva8686;AT1G77390
Dniva8722;AT1G77400
Dniva8666;AT1G77450
Dniva8655;AT1G77470
Dniva8664;AT1G77500
Dniva8658;AT1G77540
Dniva8657;AT1G77590
Dniva8672;AT1G77610
Dniva8647;AT1G77620
Dniva8673;AT1G77640
Dniva8648;AT1G77660
Dniva8643;AT1G77670
Dniva8644;AT1G77680
Dniva8634;AT1G77700
Dniva8633;AT1G77710
Dniva8628;AT1G77720
Dniva8622;AT1G77730
Dniva8618;AT1G77750
Dniva8610;AT1G77790
Dniva8621;AT1G77830
Dniva8593;AT1G77840
Dniva8572;AT1G77855
Dniva8587;AT1G77870
Dniva8585;AT1G77885
Dniva8574;AT1G77980
Dniva8577;AT1G77990
Dniva8601;AT1G78010
Dniva8583;AT1G78020
Dniva8590;AT1G78050
Dniva8573;AT1G78060
Dniva8597;AT1G78070
Dniva8582;AT1G78080
Dniva8592;AT1G78090
Dniva8588;AT1G78110
Dniva8544;AT1G78140
Dniva8552;AT1G78170
Dniva8565;AT1G78180
Dniva8556;AT1G78230
Dniva8555;AT1G78260
Dniva8560;AT1G78280
Dniva8499;AT1G78380
Dniva8510;AT1G78430
Dniva8492;AT1G78440
Dniva8483;AT1G78460
Dniva8502;AT1G78520
Dniva8501;AT1G78530
Dniva8500;AT1G78560
Dniva8507;AT1G78590
Dniva8485;AT1G78610
Dniva8489;AT1G78620
Dniva8466;AT1G78700
Dniva8474;AT1G78770
Dniva8455;AT1G78780
Dniva8447;AT1G78800
Dniva8451;AT1G78850
Dniva8445;AT1G78880
Dniva8444;AT1G78895
Dniva8472;AT1G78910
Dniva8460;AT1G78922
Dniva8458;AT1G78930
Dniva8418;AT1G78995
Dniva8417;AT1G79010
Dniva8422;AT1G79040
Dniva8428;AT1G79060
Dniva8414;AT1G79080
Dniva8432;AT1G79130
Dniva8400;AT1G79150
Dniva8398;AT1G79160
Dniva8426;AT1G79190
Dniva8421;AT1G79200
Dniva8435;AT1G79220
Dniva8423;AT1G79340
Dniva8399;AT1G79350
Dniva8397;AT1G79360
Dniva8436;AT1G79370
Dniva8434;AT1G79380
Dniva8348;AT1G79390
Dniva8380;AT1G79420
Dniva8357;AT1G79430
Dniva8383;AT1G79460
Dniva8389;AT1G79490
Dniva8364;AT1G79530
Dniva8363;AT1G79540
Dniva8385;AT1G79560
Dniva8365;AT1G79600
Dniva8368;AT1G79610
Dniva8373;AT1G79630
Dniva5485;AT1G79660
Dniva8352;AT1G79720
Dniva8200;AT1G79750
Dniva8180;AT1G79770
Dniva27444;AT1G79780
Dniva8174;AT1G79800
Dniva8182;AT1G79840
Dniva8192;AT1G79860
Dniva8196;AT1G79900
Dniva8197;AT1G79960
Dniva8187;AT1G80010
Dniva8194;AT1G80050
Dniva8212;AT1G80080
Dniva8215;AT1G80120
Dniva8249;AT1G80133
Dniva8231;AT1G80140
Dniva8255;AT1G80170
Dniva8267;AT1G80180
Dniva8248;AT1G80240
Dniva8246;AT1G80280
Dniva21590;AT1G80320
Dniva8277;AT1G80330
Dniva8276;AT1G80340
Dniva8262;AT1G80350
Dniva8230;AT1G80370
Dniva8234;AT1G80400
Dniva8216;AT1G80440
Dniva8279;AT1G80450
Dniva8323;AT1G80530
Dniva8331;AT1G80610
Dniva8291;AT1G80620
Dniva8334;AT1G80670
Dniva8293;AT1G80680
Dniva8315;AT1G80690
Dniva8319;AT1G80710
Dniva8344;AT1G80730
Dniva8318;AT1G80760
Dniva8309;AT1G80770
Dniva8316;AT1G80850
Dniva8283;AT1G80870
Dniva8391;AT1G80920
Dniva8386;AT1G80930
Dniva8388;AT1G80950
Dniva291;AT2G01060
Dniva283;AT2G01080
Dniva289;AT2G01110
Dniva274;AT2G01120
Dniva299;AT2G01130
Dniva306;AT2G01140
Dniva301;AT2G01170
Dniva277;AT2G01190
Dniva287;AT2G01210
Dniva305;AT2G01300
Dniva19929;AT2G01310
Dniva276;AT2G01390
Dniva297;AT2G01410
Dniva296;AT2G01440
Dniva275;AT2G01460
Dniva327;AT2G01520
Dniva357;AT2G01540
Dniva345;AT2G01580
Dniva337;AT2G01610
Dniva318;AT2G01620
Dniva344;AT2G01630
Dniva340;AT2G01670
Dniva316;AT2G01680
Dniva326;AT2G01730
Dniva339;AT2G01740
Dniva320;AT2G01750
Dniva338;AT2G01770
Dniva486;AT2G01810
Dniva497;AT2G01818
Dniva484;AT2G01860
Dniva502;AT2G01870
Dniva487;AT2G01905
Dniva494;AT2G01913
Dniva10166;AT2G01918
Dniva495;AT2G01950
Dniva381;AT2G02050
Dniva445;AT2G02090
Dniva455;AT2G02130
Dniva457;AT2G02140
Dniva469;AT2G02160
Dniva446;AT2G02470
Dniva652;AT2G02590
Dniva688;AT2G02750
Dniva687;AT2G02850
Dniva660;AT2G02880
Dniva698;AT2G02950
Dniva9999;AT2G03130
Dniva635;AT2G03200
Dniva613;AT2G03270
Dniva619;AT2G03310
Dniva621;AT2G03340
Dniva642;AT2G03350
Dniva611;AT2G03380
Dniva615;AT2G03410
Dniva634;AT2G03420
Dniva630;AT2G03430
Dniva521;AT2G03480
Dniva515;AT2G03500
Dniva531;AT2G03510
Dniva532;AT2G03720
Dniva538;AT2G03740
Dniva548;AT2G03760
Dniva552;AT2G03780
Dniva10144;AT2G03820
Dniva523;AT2G03830
Dniva529;AT2G03840
Dniva550;AT2G03880
Dniva556;AT2G03890
Dniva516;AT2G04030
Dniva560;AT2G04038
Dniva20190;AT2G04160
Dniva20208;AT2G04270
Dniva20192;AT2G04305
Dniva20226;AT2G04340
Dniva20211;AT2G04400
Dniva20182;AT2G04410
Dniva20242;AT2G04480
Dniva20186;AT2G04560
Dniva20213;AT2G04570
Dniva33187;AT2G04620
Dniva33181;AT2G04650
Dniva33159;AT2G04660
Dniva20231;AT2G04795
Dniva20195;AT2G04845
Dniva20204;AT2G04850
Dniva20189;AT2G04860
Dniva19880;AT2G04900
Dniva19861;AT2G04940
Dniva19867;AT2G05120
Dniva30223;AT2G05140
Dniva19895;AT2G05320
Dniva19894;AT2G05335
Dniva19883;AT2G05540
Dniva700;AT2G05600
Dniva19864;AT2G05630
Dniva19878;AT2G05755
Dniva19884;AT2G05760
Dniva19874;AT2G05790
Dniva10170;AT2G05900
Dniva20090;AT2G05910
Dniva20093;AT2G05920
Dniva20108;AT2G06005
Dniva20111;AT2G06010
Dniva20237;AT2G06020
Dniva20073;AT2G06040
Dniva20078;AT2G06210
Dniva20119;AT2G06255
Dniva20099;AT2G06510
Dniva20118;AT2G06520
Dniva20104;AT2G06990
Dniva20091;AT2G07040
Dniva20105;AT2G07050
Dniva20110;AT2G07340
Dniva20084;AT2G07360
Dniva13181;AT2G07671
Dniva13213;AT2G07673
Dniva13182;AT2G07675
Dniva20098;AT2G07680
Dniva13149;AT2G07689
Dniva20083;AT2G07690
Dniva13142;AT2G07691
Dniva13145;AT2G07692
Dniva13207;AT2G07696
Dniva13204;AT2G07707
Dniva13186;AT2G07708
Dniva13192;AT2G07715
Dniva13214;AT2G07722
Dniva13184;AT2G07725
Dniva13185;AT2G07727
Dniva13191;AT2G07734
Dniva11544;AT2G07741
Dniva13183;AT2G07751
Dniva13175;AT2G07771
Dniva13151;AT2G07772
Dniva18171;AT2G07776
Dniva13200;AT2G07777
Dniva13206;AT2G07779
Dniva13171;AT2G07785
Dniva20164;AT2G10970
Dniva20137;AT2G11520
Dniva20138;AT2G11810
Dniva20151;AT2G12400
Dniva20143;AT2G12462
Dniva20132;AT2G12550
Dniva20005;AT2G13295
Dniva20167;AT2G13350
Dniva20156;AT2G13540
Dniva20128;AT2G13560
Dniva20168;AT2G13570
Dniva20142;AT2G13600
Dniva20170;AT2G13610
Dniva20169;AT2G13620
Dniva20131;AT2G13680
Dniva20126;AT2G13810
Dniva20146;AT2G13840
Dniva20134;AT2G14050
Dniva20139;AT2G14210
Dniva20175;AT2G14247
Dniva20133;AT2G14530
Dniva20155;AT2G14610
Dniva20122;AT2G14620
Dniva20045;AT2G14690
Dniva23546;AT2G14695
Dniva20027;AT2G14750
Dniva20041;AT2G14825
Dniva20062;AT2G14850
Dniva20058;AT2G14860
Dniva20053;AT2G15020
Dniva20043;AT2G15130
Dniva20030;AT2G15230
Dniva20054;AT2G15240
Dniva20658;AT2G15320
Dniva20602;AT2G15430
Dniva20649;AT2G15440
Dniva20603;AT2G15580
Dniva20610;AT2G15620
Dniva22405;AT2G15690
Dniva20604;AT2G15695
Dniva20659;AT2G15760
Dniva20647;AT2G15780
Dniva20640;AT2G15790
Dniva20627;AT2G15820
Dniva20668;AT2G15830
Dniva20645;AT2G15890
Dniva20636;AT2G15910
Dniva20626;AT2G15960
Dniva20656;AT2G15980
Dniva20601;AT2G16050
Dniva20652;AT2G16060
Dniva20479;AT2G16120
Dniva20483;AT2G16270
Dniva20476;AT2G16385
Dniva20480;AT2G16400
Dniva20493;AT2G16405
Dniva20481;AT2G16440
Dniva20506;AT2G16580
Dniva20470;AT2G16595
Dniva19903;AT2G16630
Dniva19904;AT2G16700
Dniva19915;AT2G16720
Dniva1332;AT2G16760
Dniva20320;AT2G16800
Dniva24025;AT2G16810
Dniva20323;AT2G16910
Dniva20351;AT2G17020
Dniva20324;AT2G17030
Dniva20248;AT2G17040
Dniva20279;AT2G17180
Dniva20281;AT2G17210
Dniva20282;AT2G17220
Dniva20252;AT2G17250
Dniva20261;AT2G17265
Dniva20260;AT2G17270
Dniva29194;AT2G17310
Dniva20386;AT2G17430
Dniva20370;AT2G17440
Dniva20414;AT2G17450
Dniva20385;AT2G17520
Dniva20388;AT2G17525
Dniva20384;AT2G17580
Dniva20382;AT2G17620
Dniva20394;AT2G17660
Dniva20395;AT2G17680
Dniva20371;AT2G17705
Dniva20379;AT2G17720
Dniva20378;AT2G17730
Dniva20390;AT2G17787
Dniva20724;AT2G17972
Dniva20725;AT2G18010
Dniva20685;AT2G18030
Dniva20676;AT2G18040
Dniva20708;AT2G18160
Dniva33463;AT2G18196
Dniva20672;AT2G18220
Dniva20688;AT2G18245
Dniva20690;AT2G18250
Dniva20704;AT2G18290
Dniva20692;AT2G18328
Dniva20722;AT2G18350
Dniva20417;AT2G18370
Dniva20434;AT2G18380
Dniva20439;AT2G18400
Dniva20418;AT2G18460
Dniva20449;AT2G18465
Dniva20447;AT2G18480
Dniva20431;AT2G18500
Dniva20440;AT2G18550
Dniva20433;AT2G18570
Dniva20421;AT2G18630
Dniva10905;AT2G18670
Dniva10862;AT2G18700
Dniva10916;AT2G18876
Dniva10914;AT2G18890
Dniva23168;AT2G18900
Dniva10935;AT2G18910
Dniva10940;AT2G18940
Dniva10966;AT2G19000
Dniva20310;AT2G19070
Dniva20300;AT2G19080
Dniva20311;AT2G19090
Dniva20843;AT2G19270
Dniva20869;AT2G19310
Dniva20870;AT2G19320
Dniva20822;AT2G19330
Dniva20834;AT2G19380
Dniva20835;AT2G19385
Dniva20861;AT2G19400
Dniva20832;AT2G19430
Dniva20824;AT2G19450
Dniva20842;AT2G19460
Dniva20823;AT2G19490
Dniva20830;AT2G19530
Dniva20826;AT2G19540
Dniva20857;AT2G19580
Dniva20855;AT2G19590
Dniva20846;AT2G19620
Dniva28341;AT2G19760
Dniva20589;AT2G19780
Dniva20569;AT2G19810
Dniva20593;AT2G19870
Dniva20558;AT2G19880
Dniva20583;AT2G19990
Dniva20559;AT2G20020
Dniva20572;AT2G20050
Dniva20528;AT2G20190
Dniva20511;AT2G20260
Dniva20534;AT2G20300
Dniva20533;AT2G20310
Dniva20771;AT2G20330
Dniva20747;AT2G20360
Dniva20793;AT2G20430
Dniva20797;AT2G20480
Dniva20764;AT2G20515
Dniva20767;AT2G20560
Dniva20514;AT2G20620
Dniva20730;AT2G20635
Dniva11612;AT2G20690
Dniva20752;AT2G20710
Dniva20772;AT2G20720
Dniva20734;AT2G20770
Dniva20795;AT2G20800
Dniva20766;AT2G20825
Dniva20805;AT2G20835
Dniva20798;AT2G20840
Dniva20799;AT2G20870
Dniva20786;AT2G20875
Dniva20753;AT2G20880
Dniva20748;AT2G20890
Dniva32173;AT2G20920
Dniva26618;AT2G20930
Dniva32179;AT2G20980
Dniva32172;AT2G20990
Dniva20401;AT2G21045
Dniva32224;AT2G21080
Dniva32227;AT2G21090
Dniva32230;AT2G21110
Dniva32225;AT2G21140
Dniva32219;AT2G21150
Dniva32215;AT2G21180
Dniva32216;AT2G21185
Dniva32257;AT2G21250
Dniva32260;AT2G21280
Dniva32252;AT2G21290
Dniva32250;AT2G21340
Dniva32255;AT2G21440
Dniva32249;AT2G21470
Dniva32262;AT2G21490
Dniva32238;AT2G21530
Dniva32239;AT2G21620
Dniva32235;AT2G21630
Dniva32270;AT2G21650
Dniva32267;AT2G21710
Dniva32307;AT2G21725
Dniva32313;AT2G21750
Dniva32301;AT2G21780
Dniva26699;AT2G21790
Dniva8420;AT2G21820
Dniva32293;AT2G21860
Dniva32295;AT2G21870
Dniva32285;AT2G21900
Dniva32296;AT2G21950
Dniva32287;AT2G21960
Dniva32292;AT2G21970
Dniva32329;AT2G21990
Dniva32317;AT2G22000
Dniva32323;AT2G22010
Dniva32318;AT2G22070
Dniva32326;AT2G22100
Dniva32316;AT2G22120
Dniva32321;AT2G22122
Dniva32335;AT2G22125
Dniva32342;AT2G22170
Dniva32340;AT2G22180
Dniva32365;AT2G22200
Dniva32379;AT2G22320
Dniva32375;AT2G22360
Dniva32382;AT2G22370
Dniva32381;AT2G22400
Dniva5186;AT2G22410
Dniva32380;AT2G22430
Dniva32377;AT2G22450
Dniva32384;AT2G22460
Dniva32383;AT2G22470
Dniva32394;AT2G22530
Dniva32386;AT2G22560
Dniva32391;AT2G22600
Dniva32408;AT2G22640
Dniva32418;AT2G22680
Dniva32426;AT2G22790
Dniva32428;AT2G22800
Dniva32448;AT2G22840
Dniva32447;AT2G22860
Dniva32449;AT2G22870
Dniva32457;AT2G22900
Dniva32440;AT2G22942
Dniva32441;AT2G23030
Dniva32446;AT2G23067
Dniva32469;AT2G23090
Dniva32462;AT2G23093
Dniva7970;AT2G23100
Dniva32510;AT2G23200
Dniva785;AT2G23220
Dniva32487;AT2G23350
Dniva32482;AT2G23360
Dniva32498;AT2G23370
Dniva32488;AT2G23380
Dniva32495;AT2G23430
Dniva32485;AT2G23460
Dniva32496;AT2G23470
Dniva32526;AT2G23510
Dniva32527;AT2G23530
Dniva32523;AT2G23540
Dniva32528;AT2G23630
Dniva32521;AT2G23640
Dniva32547;AT2G23670
Dniva32551;AT2G23690
Dniva32539;AT2G23755
Dniva32549;AT2G23770
Dniva32566;AT2G23810
Dniva4247;AT2G23830
Dniva10526;AT2G23840
Dniva32556;AT2G23890
Dniva32558;AT2G23970
Dniva32575;AT2G24090
Dniva32577;AT2G24100
Dniva32590;AT2G24120
Dniva32602;AT2G24180
Dniva32600;AT2G24220
Dniva32616;AT2G24230
Dniva32676;AT2G24330
Dniva32672;AT2G24500
Dniva32665;AT2G24540
Dniva32675;AT2G24550
Dniva32674;AT2G24570
Dniva32681;AT2G24580
Dniva32629;AT2G24762
Dniva32692;AT2G24820
Dniva32706;AT2G24830
Dniva32699;AT2G24860
Dniva32720;AT2G24940
Dniva32714;AT2G24970
Dniva32691;AT2G25060
Dniva32709;AT2G25090
Dniva32697;AT2G25110
Dniva32705;AT2G25130
Dniva32736;AT2G25180
Dniva14521;AT2G25185
Dniva32753;AT2G25200
Dniva32742;AT2G25220
Dniva32734;AT2G25250
Dniva32737;AT2G25260
Dniva32733;AT2G25270
Dniva32740;AT2G25280
Dniva23423;AT2G25295
Dniva32780;AT2G25490
Dniva32775;AT2G25560
Dniva32772;AT2G25605
Dniva32787;AT2G25610
Dniva32795;AT2G25680
Dniva28840;AT2G25720
Dniva32792;AT2G25735
Dniva32773;AT2G25737
Dniva32801;AT2G25790
Dniva32808;AT2G25800
Dniva32802;AT2G25810
Dniva32819;AT2G25820
Dniva32812;AT2G25830
Dniva32823;AT2G25870
Dniva32839;AT2G25910
Dniva30531;AT2G25920
Dniva27717;AT2G25930
Dniva32831;AT2G25950
Dniva8942;AT2G26010
Dniva32851;AT2G26040
Dniva32834;AT2G26110
Dniva32837;AT2G26140
Dniva32824;AT2G26170
Dniva32845;AT2G26180
Dniva32827;AT2G26200
Dniva19748;AT2G26230
Dniva32836;AT2G26240
Dniva32864;AT2G26250
Dniva32857;AT2G26260
Dniva32855;AT2G26270
Dniva32867;AT2G26290
Dniva32880;AT2G26320
Dniva32868;AT2G26330
Dniva32872;AT2G26360
Dniva32871;AT2G26430
Dniva32898;AT2G26460
Dniva32916;AT2G26490
Dniva32891;AT2G26510
Dniva32914;AT2G26520
Dniva6342;AT2G26600
Dniva10344;AT2G26650
Dniva6336;AT2G26660
Dniva6347;AT2G26680
Dniva6344;AT2G26690
Dniva6341;AT2G26700
Dniva6365;AT2G26710
Dniva6363;AT2G26730
Dniva6357;AT2G26780
Dniva6334;AT2G26830
Dniva8282;AT2G26865
Dniva6355;AT2G26890
Dniva6368;AT2G26910
Dniva6374;AT2G26920
Dniva6356;AT2G26930
Dniva6362;AT2G26940
Dniva6307;AT2G26960
Dniva6308;AT2G26980
Dniva6306;AT2G26990
Dniva6276;AT2G27140
Dniva7318;AT2G27180
Dniva7573;AT2G27270
Dniva6394;AT2G27285
Dniva21871;AT2G27300
Dniva6390;AT2G27310
Dniva6380;AT2G27370
Dniva6388;AT2G27380
Dniva5321;AT2G27389
Dniva6377;AT2G27460
Dniva6385;AT2G27470
Dniva735;AT2G27500
Dniva6378;AT2G27550
Dniva32693;AT2G27590
Dniva6108;AT2G27660
Dniva6635;AT2G27680
Dniva6642;AT2G27740
Dniva6639;AT2G27760
Dniva6684;AT2G27770
Dniva6198;AT2G27800
Dniva6674;AT2G27810
Dniva6660;AT2G27830
Dniva6599;AT2G27970
Dniva6585;AT2G27980
Dniva6590;AT2G28050
Dniva6566;AT2G28080
Dniva6583;AT2G28085
Dniva6568;AT2G28090
Dniva6602;AT2G28110
Dniva6608;AT2G28120
Dniva12345;AT2G28130
Dniva6607;AT2G28140
Dniva6611;AT2G28180
Dniva6623;AT2G28200
Dniva6560;AT2G28315
Dniva6561;AT2G28320
Dniva6549;AT2G28330
Dniva6541;AT2G28370
Dniva6536;AT2G28380
Dniva6538;AT2G28390
Dniva6509;AT2G28410
Dniva6508;AT2G28420
Dniva6513;AT2G28430
Dniva6505;AT2G28490
Dniva6504;AT2G28500
Dniva6510;AT2G28510
Dniva6524;AT2G28520
Dniva7448;AT2G28605
Dniva6519;AT2G28610
Dniva6495;AT2G28625
Dniva6496;AT2G28640
Dniva6497;AT2G28650
Dniva6458;AT2G28660
Dniva6454;AT2G28690
Dniva6467;AT2G28710
Dniva6449;AT2G28780
Dniva6464;AT2G28790
Dniva6452;AT2G28800
Dniva6435;AT2G28830
Dniva6443;AT2G28840
Dniva6439;AT2G28870
Dniva6471;AT2G28940
Dniva6470;AT2G28950
Dniva6484;AT2G29020
Dniva6410;AT2G29040
Dniva6424;AT2G29065
Dniva6429;AT2G29125
Dniva6413;AT2G29130
Dniva17563;AT2G29170
Dniva6398;AT2G29180
Dniva6404;AT2G29260
Dniva9315;AT2G29370
Dniva7064;AT2G29400
Dniva6535;AT2G29450
Dniva8603;AT2G29470
Dniva10039;AT2G29490
Dniva4372;AT2G29510
Dniva23097;AT2G29560
Dniva6689;AT2G29700
